Course,Name,URL,Last assessed,Last published,Note,Prerequisite_Courses,Prerequisite_Units,TD_Interactive,TD_Interactive_Written,TD_Context,TD_Context_Written,TD_Integrative,TD_Integrative_Written,TD_Pluralistic,TD_Pluralistic_Written,TD_Change,TD_Change_Written,TD_Systemic,TD_Systemic_Written,Advice,Assessment URL
ECON2900,Development Poverty and Famine,https://programsandcourses.anu.edu.au/course/ECON2900,,22-Apr-21,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Material),Description: The course will cover both theory and empirical evidence but focusing mainly on how to conduct empirical analysis in understanding these important economic development issues.,Likely,"Why are some countries richer than others? Why have some countries experienced growth miracles while others have experienced stagnation or even growth disasters? Within developing countries, what does it mean to be poor? How to combat poverty? What are the challenges that the poor in developing countries face and what can be done to improve their living standards? ",Likely,"Description: The topics covered will include explanations on why countries develop differentially, the effect of geography, institutions, foreign aid, corruption and differential, saving rates on the large disparities across countries. 
Description: This course intends to teach students what we know and what we do not know about these important questions and will focus on teaching students tools in understanding them. 
NOTE: Course has no recorded LOs.",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ECON3004,Health Economics,https://programsandcourses.anu.edu.au/course/ECON3004,,28-Sep-21,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),LO: be able to use microeconomic analysis to evaluate health economics issues,Somewhat Likely,"LO: define the determinants of the demand for health care, demand for health insurance and the supply of health, as well as health and health care production functions;",Somewhat Likely,"We will study how government policies help shape the healthcare sector. We will also learn economic methods for evaluating the effects of health care policies.
LO: define the determinants of the demand for health care, demand for health insurance and the supply of health, as well as health and health care production functions",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ECON3006,Financial Economics,https://programsandcourses.anu.edu.au/course/ECON3006,,01-Nov-22,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),"LO: define the classical finance model that underpins modern finance;
",,"Needs a clearer statement around the broader context. Perhaps expansion of: ""This course examines the economic principles that determine the allocation of resources through time in market economies.""",Somewhat Likely,"Maybe: assess the economic efficiency of market outcomes for different market structures, in the presence of market frictions and/or government intervention;",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ECON3023,Economic Policy Issues,https://programsandcourses.anu.edu.au/course/ECON3023,,01-Nov-22,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),"Description: The primary emphasis is on the relationships between economic research and economic policy objectives, but discussions also place the research in its social, political and historical environment.
LO: apply economic theory and various statistical techniques to judge effectiveness and outcomes of policies",Somewhat Likely,LO: describe how new research strategies have been applied across different policy areas by focusing on their strengths and weaknesses from the viewpoint of their practical importance in the policy area of interest;,Likely,"Description: This course analyses, discusses and critiques recent and important applied empirical research papers directed towards contemporary economic policy issues.
LO: demonstrate a general understanding of applied research publications that have sought to analyse effectiveness of particular aspects of contemporary economic policy",,,,,Somewhat Likely,LO: express your intuition and analytical ability to make judgments in policy areas where there is insufficient knowledge about key relationships that matter,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ECON3103,International Economics,https://programsandcourses.anu.edu.au/course/ECON3103,,09-Feb-23,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),"LO: to apply economic reasoning to issues of the day surrounding globalization,",Somewhat Likely,"Description: How does international trade affect individual firms, consumers, workers and industries? Why do some firms decide to export but not others? What is the impact of government policies on trade and welfare, and what are the best policies? 

LO: demonstrate an understanding of economists    arguments concerning trade policy and its analysis,
",Somewhat Likely,Perhaps: LO: Demonstrate an understanding of the main economic theories and models of international trade,,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ECON3127,Computational Methods in Economics,https://programsandcourses.anu.edu.au/course/ECON3127,,26-Oct-18,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),"Description: Students will also learn how to obtain, manipulate and represent data, using tools such as scatterplots and histograms.
LO: Algorithm and data manipulation and visualization of economic data",,Needs to demonstrate consideration of the broader context.,Somewhat Likely,Perhaps: LO: Reinforcement of key ideas from economic analysis,,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ECON3128,Resource and Environmental Economics,https://programsandcourses.anu.edu.au/course/ECON3128,,26-Oct-18,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),"LO: use economic modelling to evaluate various approaches to the design of efficient environmental policies and of rules for the optimal management of natural resources;
",Somewhat Likely,"Description:  It identifies conditions under which market failures lead to environmental degradation or to the overexploitation of natural resources, and discusses economic policies that can counteract such market failures.
LO: demonstrate an understanding of how various market failures may lead to environmental degradation or the overexploitation of natural resources;",Somewhat Likely,"This course analyses the economic principles underlying the design of efficient environmental policies and the optimal management of natural resources.
LO: Use economic modelling to evaluate various approaches to the design of efficient environmental policies and of rules for the optimal management of natural resources;",,,,,Somewhat Likely,LO: Construct and analyse simple dynamic models of natural resource management.,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ECON3180,Advanced Behavioral Economics,https://programsandcourses.anu.edu.au/course/ECON3180,,28-Sep-21,,Open to students with particular courses,Normally completed at least 96 units,Somewhat Likely (Material),LO: demonstrate an understanding of what the Behavioral Economics program is and how it differs from classical economic analysis;,Somewhat Likely,"Could benefit from some real-world examples in the description to provide context. 
LO: demonstrate an understanding of the main theoretical and empirical debates in Behavioral Economics and evaluate the contribution of Behavioral Economics to broader economic knowledge, as well as other areas.
",Somewhat Likely,"Description: Behavioral economics refers to the research program that attempts to incorporate more realistic psychological foundations into models of economic behavior. 
LO: Describe and interpret the latest findings from Behavioral Economics research, demonstrating an understanding of how they translate into individual behaviour and apply them to public policy questions;",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ENGN2300,Engineering Design 2: Systems Approaches for Design,https://programsandcourses.anu.edu.au/course/engn2300,,17-May-24,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Common),"Description: Design Project - You will be challenged in small teams to generate an engineering design using the systems approach that meets the requirements of project stakeholders..
LO: Effectively communicate engineering designs through engineering models
LO: Operate as an effective member of an engineering team across multiple disciplines",Somewhat Likely,Assessment: Project - The major project in this course will involve the application of systems engineering design practises to determine a preferred concept to sole a real-world engineering problem. ,,,,,,,Likely,LO: Reflect on taking a systems approach to engineering design in the context of professional engineering,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ENGN2301,Engineering Design 3: Systems Approaches for Analysis,https://programsandcourses.anu.edu.au/course/engn2301,,17-May-24,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Common),"LO: Operate as an effective member of an engineering team for an external stakeholder
Description: You will be challenged in small teams to design the testing processes enabling you to evaluate an engineering design. ",Somewhat Likely,"Project: You will be challenged in small teams to analyse and evaluate an engineering design using a systems approach, taking into consideration the requirements of project stakeholders. ",Likely,"Description: You will apply techniques to analyse a system from a range of perspectives, from understanding human factors through to optimisation.",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ENGN3013,Engineering for a Humanitarian Context,https://programsandcourses.anu.edu.au/course/ENGN3013,15-Jul-24,13-Aug-23,,Open to students with relevant backgrounds,Normally completed at least 96 units,Likely (Experts),"Description: This includes taking part in the 7-14 day immersive experiences, 1 1/2 days of workshops before the immersion, a day workshop after the immersion and time for assessment preparation and presentation",Likely,"LO: Apply appropriate technology and system design principles to humanitarian contexts incorporating social, economic and environmental factors",Likely,Identify and evaluate appropriate models of development and engineering and design processes for a range of humanitarian contexts to promote social justice and address the root cause of disadvantage,Likely,LO: Apply existing discipline knowledge to cross-disciplinary humanitarian contexts and describe how humanitarian principles and skills can inform and enhance discipline practice,Likely,"LO: Discuss significant aspects of Australia s international and domestic aid and development sector, including its history, geopolitical context and contemporary approaches",,,,
ENVS1001,Environment and Society: Geography of Sustainability,https://programsandcourses.anu.edu.au/course/ENVS1001,,24-May-24,,Open to all students,No prerequisite units,Likely (Experts),"Description: Guest speakers will be drawn from the many ANU Colleges and the government, community and business sectors.
Assessment: Fieldtrip report",Likely,"Description: The contrasts and connections between scientific and social science theory and methods will be examined. [...] Other key concepts critically explored will include social justice, equity and sustainability.
LO:  Demonstrate understanding of awareness of theories explaining and informing environmental governance and the formulation of policy instruments.",Likely,"Description: These issues will be explored through case studies that will include: the role of Indigenous people in resource management, the international dimension of global climatic change, water and land degradation and biodiversity conservation.
LO: Demonstrate understanding of different perspectives proposing to explain causes and consequences of environmental change.",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ENVS1004,Australia's Environment,https://programsandcourses.anu.edu.au/course/ENVS1004,15-Jul-24,19-Jun-24,,Open to all students,No prerequisite units,Likely (Peers),"Assessment: Research Synthesis (Group)
Description: Lectures are delivered by a diverse range of disciplinary experts.",Likely,LO: Discuss the characteristics of water in Australia and the interacting environmental and social factors;,Likely,LO: Integrate knowledge across a range of biophysical disciplines to complex environmental problems;,,,Likely,LO: Describe the development of Australian soils and the implications for ecosystem productivity;,,Likely,LO: Recognise the patterns and processes which characterise Australia s climate and explain their connection to the evolution of Australian landscapes and biota;,
ENVS1008,Sustainable Development,https://programsandcourses.anu.edu.au/course/ENVS1008,,06-Jun-24,,Open to all students,No prerequisite units,Somewhat Likely (Common),"Description: Drawing on international case studies in both developed and developing countries, as well as global initiatives, we investigate the goals of sustainability as they relate to environmental, social and economic goals.
Class Schedule: Case studies led by different experts",Somewhat Likely,"Description: Students are introduced to a range of viewpoints, theories and frameworks useful for thinking about and understanding social and environmental change in the context of sustainable development. ",Likely,,,,Highly Likely,"Description: Students are introduced to a range of viewpoints, theories and frameworks useful for thinking about and understanding social and environmental change in the context of sustainable development.",Highly Likely,"LO: Recognise, understand and explain the complexity of linkages between drivers, pressures, impacts and responses for contemporary sustainable development challenges","May be higher levels in Collaboration/Context, noting as a first-year course.",https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ENVS2005,Island Sustainable Development,https://cms.anu.edu.au/cms/design/course/67658/view,15-Jul-24,19-Jun-24,Draft in CMS,Open to all students,Normally completed at least 24 units,Highly Likely,LO: Interact with people from another country in a culturally sensitive manner ,Highly Likely,"LO: Understand the complex social, environmental and cultural challenges that confront an island nation, like Fiji
Description: The course will investigate the interactions between economic development and the sustainable management of key sectors including fisheries, agriculture, water catchment management, tourism, waste management, cultural heritage management and marine and coastal biodiversity.",Likely,LO: Undertake analysis of issues related to island sustainable development and to present these in a coherent manner ,Likely,"LO: Effectively present and discuss ideas, and to listen, assess and respond to ideas of others",Likely,LO: Apply interdisciplinary approaches to resolving sustainable development issues in an island context,Likely,"Description: These meetings recognised that Small Island Developing States (SIDS) have a narrow range of resources, which forces undue specialization; excessive dependence on international trade and hence vulnerability to global developments; relatively small watersheds and threatened supplies of fresh water; costly public administration and infrastructure, including transportation and communication; and limited institutional capacities and domestic markets, which are too small to provide significant scale economies.  ",,
ENVS2017,Vietnam Field School,https://cms.anu.edu.au/cms/design/course/67694/view,15-Jul-24,19-Jun-24,,Permission Code,Normally completed at least 24 units,Highly Likely,"LO: Conduct rapid research in a team environment
Description: The in-country work will include fieldtrips, homestays, language training, as well as formal classes given by staff from ANU and from An Giang University (Mekong Delta).",Likely,"LO: Reflect deeply on the impact of rapid change on culture, environment and local economies",,,,,Somewhat Likely,"LO: Reflect deeply on the impact of rapid change on culture, environment and local economies",Likely,Description: The course focuses on experiencing and understanding the complex relationships between development and the environment as seen through every day living.,,
ENVS2018,Environmental Field School,https://cms.anu.edu.au/cms/design/course/67693/view,15-Jul-24,22-Apr-24,,Open to students with particular courses,Normally completed at least 24 units,Highly Likely,"Assessment: Group work: Professional practice in Environmental Sciences will require group work. Task requires group organisation and delivery of a presentation
Description: The field work is complemented by field trip workshops.",Likely,LO:  Collect a diversity of data that describe the biophysical attributes and processes of ecosystems.,Likely,"LO: Demonstrate a capacity to choose appropriate data collection methods, design appropriate sampling strategies and communicate findings about ecosystem patterns, processes and resource management impacts.",,,Likely,"Desrlipnios: You will learn to appreciate how soils, landforms, vegetation and fauna should be considered in research and decision-making. ",,,,
ENVS2023,Sustainable Agricultural Systems,https://cms.anu.edu.au/cms/design/course/62724/view,15-Jul-24,19-Jun-24,,Open to all students,Normally completed at least 48 units,Somewhat Likely (Broad),"Description:  The course includes real world case studies from farming and food industry enterprises to provide first-hand experience and application of your learning.
Description: Students are expected to actively participate and contribute towards discussions and course activities, whilst supporting others to do the same.",Likely,"Description: Production systems are placed within the broader social, cultural and economic contexts in which they operate",Somewhat Likely,LO:  Demonstrate the knowledge of complex agricultural systems using a range of frameworks and tools.,Likely,"LO:  Understand key agricultural systems concepts and perspectives at regional, national and global scales.",Somewhat Likely,LO: Describe constraints and opportunities for future sustainable agricultural systems.,,,,
ENVS2024,Agricultural Systems,https://programsandcourses.anu.edu.au/course/ENVS2024,15-Jul-24,19-Jun-24,,Open to all students,Normally completed at least 72 units,Highly Likely,"Assessment: Stakeholder Communications Exercise (Group)
Description: This winter intensive course will involve farm visits to the greater ACT or Central West region. Overnight stays will be required and additional fees will apply. Please refer to the Class Summary for full details.",Likely,LO: Critically review literature and 'real life' examples of agricultural production in context as a system.,,,,,Likely,"Description: A range of land management issues are examined, with students developing the skills to design and implement improved farming systems to address these issues in the context of barriers to adoption, and key enablers of practice change",Highly Likely,"LO: Integrate knowledge of production systems to view Australian agrifood as a system.
Description: This course is intended to provide breadth of systems knowledge to allow students of a range of knowledge domains to come together and apply their knowledge in an agricultural context.",,
ENVS3004,Land and Catchment Management,https://programsandcourses.anu.edu.au/course/ENVS3004,15-Jul-24,22-Apr-24,,Open to all students,Normally completed at least 72 units,Likely,"Assessment: Field data reporting
Description: All students engage with WIL partners (internal/external) as a minor component of the course",Likely,"LO: Reflect on how land management strategies have been informed by (and continues to be shaped by) institutional perspectives, historical development, policy and social drivers
Description: The course emphasises the interdisciplinarity of land resource management and examines content by investigating the physical, economic, social and institutional components of a problem.",,,,,Highly Likely,"LO: Describe the natural and anthropogenic drivers of land degradation, past, present and future, at continental, regional and local scales",,,,
ENVS3013,Climate Change,https://programsandcourses.anu.edu.au/course/ENVS3013,15-Jul-24,19-Jun-24,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),"LO: Develop a broad scientific basis for evaluating the likely causes and potential impacts of climate variability and change, and communicate this in a range of formats suitable for diverse audiences.",Likely,"LO: Synthesise understanding of processes that influence climate variability and change, and their application to research and policy contexts.
Description: The scientific basis for climate change is also applied to understanding observed impacts and its relevance for global policy contexts",,,,,Highly Likely,"LO: Analyse climate data to interpret past, present and future climate variability and change.",,,,
ENVS3020,"Climate Change: Science, Society, and Policy",https://programsandcourses.anu.edu.au/course/ENVS3020,,16-Jul-05,Draft for 2025,Open to all students,Completed minimum of  72 units,Likely (Experts),"Description: Contributors to the course include experts from across the ANU and representatives of various government departments, industry, business, and community groups, and research organisations.
Assessment: UN Negotiation or Policy analysis",Likely,"Current and likely future impacts of global warming on ecosystems and human activities are considered, including biodiversity, human health, regional inequality, and vulnerability. ",,"Description: The culmination of the course is a mock treaty negotiation for ""The Canberra Agreement"" under the United Nations Framework Convention on Climate Change.",,"LO: Engage effectively with denialism, skepticism, and other forms of disagreement",,LO: Debate future climate change policy in the context of international climate change negotiations.,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ENVS3040,Complex Environmental Problems in Action,https://programsandcourses.anu.edu.au/course/ENVS3040,,10-Apr-24,Draft for 2025,Open to all students,Completed minimum of  72 units,Likely (Experts),"Description: The first two cases present complex local and national issues in collaboration with key stakeholders. Students engage with these issues by drawing on a range of theoretical concepts and practical tools.
LO: Understand and apply the case study approach to participate effectively in integrative, team-based research projects.
Assessment: Learning portfolio including a group work product and individual reflection",Highly Likely,"Description: This course uses three case studies to develop a multi-faceted, research-based understanding of complex environmental problems that graduating students can apply in future research or work environments.
LO: Apply problem solving skills in environmental studies and environmental science, including problem framing, synthesis and critical reflection.",Highly Likely,"LO: Apply problem solving skills in environmental studies and environmental science, including problem framing, synthesis and critical reflection.",,,,,,,Note that prerequisites may change to ensure BENSU/AENSU students have priority.,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
ENVS3344,Environmental Justice Practicum,https://programsandcourses.anu.edu.au/course/ENVS3344,15-Jul-24,19-Jun-24,,Open to all students,Normally completed at least 72 units,Highly Likely,"Assessment: Research project (group)
Description: This is an interdisciplinary course involving students from the College of Law and the Fenner School of the Environment and Society. [...]  Students will attend seminars on topics of interest, and work in cross-disciplinary teams on environmental issues.",Likely,"LO:  Research and critically analyse environmental issues, incorporating legal, scientific and First Nations' perspectives.",Likely,LO: Develop and apply practical legal and environmental science skills and approaches in environment and planning law.,,,Likely,"LO: Assess current measures to promote access to environmental justice and consider improvements to measures to achieve environmental justice.
LO: Evaluate the role and ability of environmental law and science to propose solutions to deliver improved environmental outcomes.",,,,
FREN3109,Global Paris,https://cms.anu.edu.au/cms/design/course/70948/view,15-Jul-24,03-Jul-24,,Open to students with particular courses,Normally completed at least 72 units,Highly Likely,"Description: Taking the city as analytical object, the course will be composed of seminars, visits to cultural sites including museums, monuments and ch teaux, collaborative workshops and guided walking tours of historically and culturally-significant districts.
Assessment: Group Museum Workshop ",Highly Likely,"LO: navigate on-site language immersion, conducting intellectual and everyday cultural interactions with native French speakers in French.
Description: The analyses undertaken in this course will equip students with the knowledge and language to understand core concepts surrounding French history, culture and identity, studied through the prism of Parisian cultural heritage.",,,,,Likely,"LO: develop an understanding of the concepts of Republicanism, multiculturalism and Frenchness through exploration of key sites, discourses, artifacts and encounters in Paris;",,,,
HIST2112,"Plagues, Pandemics and Public Health in History",https://programsandcourses.anu.edu.au/course/hist2112,,23-May-24,Disestablished,Open to all students,Normally completed at least 48 units,,There are hints of interaction through tutorial participation and the primary source activity. This could be framed as TD collaboration if appropriate. ,Somewhat Likely,"Description: this course provides cultural, economic, environmental, legal, political and social perspectives on various forms of sickness
LO: demonstrate a capacity to analyse sickness and health through the lenses of cultural, economic, environmental, legal, political and social history; ",Somewhat Likely,Assessment: Primary source essay:  Question: How does this source help to illuminate the issues of power and authority in the history of sickness and health for this particular place and period? ,,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
HLTH1001,Health in the 21st Century,https://programsandcourses.anu.edu.au/course/HLTH1001,15-Jul-24,13-May-24,,Open to all students,No prerequisite units,Somewhat Likely (Material),"Description: Having access to guest lecturers who are also key leaders in the field may mean that the listed lecture sequence may change to another week in order to accommodate access to these experts. *Note: not clear that this is assessed, etc, ",Likely,"LO: Describe the concept of health determinants (biological, behavioural, social and environmental) and discuss the relative contributions of these to health and wellbeing;
Description: Students completing the course will learn about the biological, behavioural, social and ecological determinants of health and will develop a capacity to view health issues from scientific, social, cultural and policy perspectives",,,,,,,Somewhat Likely,"LO: Explain the relationship between health service delivery, public health and global health and apply this knowledge to health policy challenges.
Description: They will be introduced to not only issues raised in relation to health service delivery and public health but also the intersections between them.",,
HLTH2002,Introduction to Global Health,https://programsandcourses.anu.edu.au/course/HLTH2002,15-Jul-24,13-May-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Likely (Peers),Assessment: Student Global Health Conference Presentation ,Likely,"LO: Critically discuss the global burden of disease and intersections with the epidemiological transition, environmental effects, socioeconomic and cultural determinants and gender.",,,,,Likely,"LO: Evaluate the shift from the Millenium Development Goals to the Sustainable Development Goals and apply this knowledge to the health domain;
LO: 
Identify and critically examine the roles of key stakeholders in global health and their impact on changes in global health agendas",,,,
HLTH3002,Professional Practice in Health Science,https://programsandcourses.anu.edu.au/course/HLTH3002,15-Jul-24,15-Dec-23,,Open to students with relevant backgrounds,Normally completed at least 72 units,Highly Likely,"LO: Demonstrate good academic practice and teamwork in researching health topics and participating in collaborative learning activities. 
LO: Demonstrate a capacity to work within a multidisciplinary team to  devise potential solutions to complex problems. ",Likely,LO: Demonstrate an ability to apply principles of health and medical ethics in the context of real world problem facing global health. ,,,,,,,,,,
HLTH3004,Wicked Problems in Health Science,https://cms.anu.edu.au/cms/design/course/69097/view,15-Jul-24,06-Jun-24,New Course,Permission Code,Normally completed at least 96 units,Highly Likely,"LO: Identify and communicate core ideas in key literature or other material on the assigned wicked problem to their peers.
LO: Prepare a joint exegesis which synthesises the problem, analyses relevant challenges and outlines a proposed solution.
Description: While learning about wicked problems, they will also be able to learn from a series of introductory lectures by experts describing exemplar wicked problems. Finally students will work in transdisciplinary groups to develop a contextualised approach to problem-solving for an assigned wicked problem.  
Assessment: Group Collaboration",Likely,"Description: They require intensive cross-boundary collaboration to develop solutions to this problem, in this context, for this population.",Likely,"LO: Critically and reflectively analyse a body of cognate literature as relevant to the assigned wicked problem and prioritise, synthesise and order such a body of work.",Likely,LO: Skills developed will include dialogic methods to appreciate different disciplinary perspectives,,,,,,
HUMN2004,"Global Vietnam: Gender, Labour and Migration",https://cms.anu.edu.au/cms/design/course/70949/view,15-Jul-24,03-Jul-24,,Permission Code,Normally completed at least 48 units,Highly Likely,"Description:  The course is based in Hanoi, the nation s capital, and in addition to offering basic language and cultural awareness instruction (i.e., survival language and etiquette), draws upon expertise from ANU staff, local academics, governmental officials and NGO staff. ",Likely,"LO: LO: 
analyse the ways in which these core themes are made meaningful for people in lived contexts and express this in written work, thus gaining insight into some of the major challenges around gender, labour, and migration in twentieth-century and contemporary Vietnam
Description: The broad themes of the course will be engaged through the study of specific topics (e.g., factory work; marriage migration; human trafficking; development and sustainability; youth, gender identity and social mobility/displacement) from multiple disciplinary perspectives (e.g., cultural studies, sociology, gender studies, anthropology, the fine arts)",Likely,"LO: select, analyse and present materials on contemporary issues pertaining to Vietnamese people",,,Likely,"LO: understand and express key elements of scholarly work on gender, labour, mobility and social and cultural change as these pertain to Vietnam;",,,,
INDN3015,Indonesian in Contemporary Society,,15-Jul-24,01-Jul-24,,Open to students with particular courses,Normally completed at least 96 units,Likely (Peers),Assessment: Tutorial Presentation and class performance,Likely,"Description: Students will delve into a spectrum of pivotal topics within contemporary Indonesian society, spanning socio-cultural and political domains.",,,,,,,,,,
LAWS4001,Unravelling Complexity,,,,Hold,,,,,,,,,,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4005,Beyond Chaos,,,,Hold,,,,,,,,,,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4218,Feminist and Critical Theory,https://cms.anu.edu.au/cms/design/course/70000/view,15-Jul-24,06-Nov-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Likely (Peers),LO: Collaborate and debate with peers and staff in ways which respect social and cultural diversity.,Somewhat Likely,"Description: Topics will include feminism within the academy, the concept of equality and violence against women as well as other topics.",Likely,"LO: Synthesise and apply feminist and other critical theories, strategies and methods to analyse law or legal issues and generate new perspectives.",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4219,"Health Law, Bioethics and Human Rights",https://programsandcourses.anu.edu.au/course/LAWS4219,,26-Apr-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"LO: Interpret and communicate the principles, law and terminology of health law and bioethics effectively for legal and non-legal audiences.",Somewhat Likely,"LO: Analyse the impact of health law issues in the Australian context for healthcare, health policy and society.",Somewhat Likely,"Description: It takes a multidisciplinary approach in considering both what the law is, and what it should be, as well as its role as a determinant of health.
LO: Synthesise and apply bioethical and human rights principles to legal problems arising in medical and health contexts.",,,,,,,May need some updates to be stronger,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4231,Law and Art: Representation and Critique,https://programsandcourses.anu.edu.au/course/LAWS4231,,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"LO [Context]: Develop independent research skills by planning, and executing advanced interdisciplinary scholarship and research in the area of law and visual studies.",Somewhat Likely,"LO: Explore and synthesise key contemporary debates shared across the disciplines of law and visual studies including sovereignty, ideology, aesthetics, iconography, and identity.",,,Likely,"Description: Studying works of visual art allows us to get under the skin of our legal values and legal ideologies.
LO: [Pluralistic] Differentiate and appraise research and methods in the fields of legal theory, law, visual studies and art history, with specific reference to the case studies chosen during the course to illustrate these fields.",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
